target_id	length	eff_length	est_counts	tpm
NM_001168316	2283	2284	227.851	18574
NM_174914	2385	2386	1390.07	108472
NR_031764	1853	1854	146.083	14670.4
NM_004503	1681	1682	310.426	34362.4
NM_006897	1541	1542	664	80174.3
NM_014212	2037	2038	55	5024.7
NM_014620	2300	2301	577.132	46699.2
NM_017409	1959	1960	47	4464.71
NM_017410	2396	2397	42	3262.37
NM_018953	1612	1613	227.994	26317.3
NM_022658	2288	2289	4881	397022
NM_153633	1666	1667	369.011	41215
NM_153693	2072	2073	100.429	9020.06
NM_173860	849	850	962	210721
NR_003084	1640	1641	0.00866826	0.983502
